 Ano; Código da Área; Área de Avaliação; Código da IES; Nome da IES; Sigla da IES; Organização Acadêmica; Categoria Administrativa; Código do Curso; Modalidade de Ensino; Código do Município; Município do Curso; Sigla da UF; Nº de Concluintes Inscritos; Nº de Concluintes Participantes; Nota Bruta - FG; Nota Padronizada - FG; Nota Bruta - CE; Nota Padronizada - CE; Conceito Enade (Contínuo); Concluintes participantes com nota no Enem; Proporção de concluintes participantes com nota no Enem; Nota Bruta - IDD; Nota Padronizada - IDD; Nota Bruta – Organização Didático-Pedagógica; Nota Padronizada - Organização Didático-Pedagógica; Nota Bruta – Infraestrutura e Instalações Físicas; Nota Padronizada - Infraestrutura e Instalações Físicas; Nota Bruta – Oportunidade de Ampliação da Formação; Nota Padronizada - Oportunidade de Ampliação da Formação; Nota Bruta - Mestres; Nota Padronizada - Mestres; Nota Bruta - Doutores; Nota Padronizada - Doutores; Nota Bruta – Regime de Trabalho; Nota Padronizada - Regime de Trabalho; CPC (Contínuo); CPC (Faixa);Observação
2019;36;FISIOTERAPIA;1956;FACULDADE REGIONAL BRASILEIRA - MACEIÓ;IBESA;Faculdade;Privada sem fins lucrativos;119814;Educação Presencial;2704302;Maceió;AL;5;5;31,18;1,252;32,46;1,4325;1,387;3;0,6;1,357;3,372;5,301;2,349;4,997;2,414;4,4;2,305;1;5;0,714;3,571;1;5;3,098;4;
2019;36;FISIOTERAPIA;1961;INSTITUTO TECNOLÓGICO E DAS CIÊNCIAS SOCIAIS APLICADAS E DA SAÚDE DO CENTRO EDUC. N. SRª AUXILIADORA;ITCSAS/CENSA;Faculdade;Privada sem fins lucrativos;51843;Educação Presencial;3301009;Campos dos Goytacazes;RJ;40;38;41,428;2,78;36,171;2,0429;2,227;33;0,868;-0,462;2,303;6;5;6;5;6;5;0,631;1,315;0,105;0,526;0,578;1,791;2,313;3;
2019;36;FISIOTERAPIA;1978;Centro Universitário Fametro; Unifametro;Centro Universitário;Privada com fins lucrativos;1284872;Educação Presencial;2304400;Fortaleza;CE;57;57;38,194;2,298;38,987;2,5062;2,454;45;0,789;0,07;2,615;5,723;3,95;5,642;4,077;5,547;4,238;1;5;0,956;4,782;1;5;3,479;4;
2019;36;FISIOTERAPIA;1986;CENTRO UNIVERSITÁRIO ESTÁCIO JUIZ DE FORA - ESTÁCIO JUIZ DE FORA;;Centro Universitário;Privada com fins lucrativos;71869;Educação Presencial;3136702;Juiz de Fora;MG;97;83;39,412;2,479;35,251;1,8917;2,038;68;0,819;0,156;2,666;5,272;2,242;5,258;3,087;4,667;2,756;0,916;4,166;0,666;3,333;0,916;4,365;2,872;3;
2019;36;FISIOTERAPIA;1996;INSTITUTO CUIABÁ DE ENSINO E CULTURA;ICEC;Faculdade;Privada com fins lucrativos;59116;Educação Presencial;5103403;Cuiabá;MT;36;31;30,206;1,107;35,516;1,9352;1,728;23;0,741;-0,504;2,278;5,237;2,108;4,874;2,096;4,587;2,621;0,538;0,384;0,076;0,384;0,769;3,241;1,801;2;
2019;36;FISIOTERAPIA;2005;FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DE SINOP;FACISAS;Faculdade;Privada com fins lucrativos;89780;Educação Presencial;5107909;Sinop;MT;23;20;37,805;2,24;43,56;3,2582;3,003;19;0,949;1,138;3,243;5,148;1,77;4,943;2,276;3,65;1,043;0,571;0,714;0,392;1,964;0,964;4,727;2,711;3;
2019;36;FISIOTERAPIA;2009;FACULDADE DE TAQUARITINGA;FTGA;Faculdade;Privada com fins lucrativos;58864;Educação Presencial;3553708;Taquaritinga;SP;2;2;15,3;0;23,75;0;0;1;0,5;;;3,67;0;3,312;0;3,75;1,21;0,8;3;0,3;1,5;0,8;3,476;0,74;1;
2019;36;FISIOTERAPIA;2023;Centro Universitário FG;UNIFG;Centro Universitário;Privada com fins lucrativos;100093;Educação Presencial;2911709;Guanambi;BA;29;25;36,084;1,983;35,436;1,922;1,937;24;0,96;0,277;2,737;5,403;2,738;5,362;3,355;4,293;2,125;0,9;4;0,466;2,333;1;5;2,796;3;
2019;36;FISIOTERAPIA;2027;FACULDADE DE CAMPINA GRANDE;FAC-CG;Faculdade;Privada com fins lucrativos;71398;Educação Presencial;2504009;Campina Grande;PB;86;82;32,424;1,438;32,728;1,4766;1,467;74;0,902;-0,348;2,37;5,564;3,347;5,462;3,613;5,159;3,584;0,769;2,692;0,23;1,153;1;5;2,394;3;
2019;36;FISIOTERAPIA;2041;FACULDADE SUDAMÉRICA;SUDAMÉRICA;Faculdade;Privada sem fins lucrativos;92990;Educação Presencial;3115300;Cataguases;MG;17;17;30,076;1,088;34,535;1,7738;1,602;9;0,529;-2,247;1,254;5,417;2,789;5,115;2,718;4,474;2,43;1;5;0,461;2,307;0,846;3,827;2,173;3;
2019;36;FISIOTERAPIA;2043;FACULDADE VALE DO SALGADO;FVS;Faculdade;Privada com fins lucrativos;1205706;Educação Presencial;2305407;Icó;CE;49;49;38,042;2,275;45,334;3,5501;3,231;44;0,897;1,396;3,394;5,602;3,491;5,564;3,877;5,012;3,337;0,869;3,695;0,434;2,173;1;5;3,351;4;
